"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","B1","B2","B3","B4","C1","C2","C3","C4","C5","D1","D2","D3","D4","D5","D6","E","F1","F2","F3","F4","F5","F6","F7"
"1","Male","Kajiado","Researcher and Data Analyst","No","No","Yes","From all industries","Yes","Yes","Step up their support",4,3,4,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","Undecided","StronglyAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees"
"2","Male","Kenya","Customer support officer for a fintech company","Yes","Yes","Yes","Food products","Yes","No","Step up their support",3,2,3,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","Undecided","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees"
"3","Male","Bomet","Teacher","Yes","No","Yes","From all industries","No","Yes","Step up their support",5,5,5,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyDisagrees","StronglyAgrees"
"4","Female","Nairobi","Sales Rep.","Yes","No","Yes","From all industries","Yes","No","Step up their support",3,3,3,4,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","SomewhatAgrees","SomewhatDisagrees","StronglyAgrees","Undecided","StronglyAgrees","SomewhatAgrees"
"5","Male","NAIROBI","Educational counselor","No","Yes","No","From all industries","No","No","Step up their support",2,2,2,3,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","Undecided","SomewhatAgrees","SomewhatAgrees","StronglyAgrees","SomewhatDisagrees","StronglyAgrees","StronglyAgrees"
"6","Male","Kajiado","Civil engineering","Yes","Yes","No","Food products","Yes","No","Step up their support",2,2,3,3,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"7","Female","Kenya","Highschool Teacher","Yes","No","Yes","Food products","Yes","Yes","Step up their support",3,2,4,3,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","TV","SomewhatAgrees","SomewhatAgrees","StronglyDisagrees","StronglyDisagrees","StronglyDisagrees","SomewhatDisagrees","StronglyAgrees"
"8","Male","Nairobi","Football Coach","No","Yes","Yes","Food products","No","Yes","Step up their support",1,1,1,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","TV","StronglyAgrees","SomewhatAgrees","StronglyDisagrees","StronglyAgrees","StronglyDisagrees","StronglyAgrees","StronglyDisagrees"
"9","Male","Kenya","Project Manager","No","No","Yes","From all industries","Yes","No","Step up their support",3,3,4,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","Undecided","SomewhatAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees"
"10","Female","Nairobi","Businesswoman","No","Yes","Yes","Food products","Yes","Yes","Step up their support",3,1,4,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","SomewhatAgrees","SomewhatAgrees"
"11","Female","Kenya","Student","Yes","No","Yes","From all industries","No","Yes","Step up their support",4,2,4,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Radio","Undecided","SomewhatDisagrees","SomewhatDisagrees","StronglyAgrees","Undecided","StronglyAgrees","Undecided"
